,Date,Shift,Furnace_ID,Furnace_Type,Batch_Type,Production_Output (tons),Energy_Consumption (kWh),Furnace_Temperature (°C),Annealing_Time (hrs),Downtime (hrs),Ambient_Temperature (°C),Recycled_Content (%),Energy_Rating,Maintenance_Flag,Fuel_Type,Glass_Thickness (mm),Production_Target (tons),Defects_Percentage (%),Melting_Time (hrs),Cooling_Energy (kWh)
141,06-01-2023 21.00,Night,Furnace_2,Electric,Borosilicate,117.97,1606.37,1427.4,1.08,0.17,28.3,39.0,C,Yes,Electricity,95.5,194.67,4.01,21.5,571.47
142,06-01-2023 22.00,Night,Furnace_4,Gas,Soda-lime,150.93,3129.28,1459.1,2.82,3.91,36.7,53.0,A,No,Natural Gas,9.82,181.45,0.86,9.9,721.22
143,06-01-2023 23.00,Afternoon,Furnace_10,Electric,Soda-lime,166.03,2273.82,1677.6,1.31,1.98,24.4,330.0,B,No,Natural Gas,5.91,112.97,4.28,9.6,532.49
144,07-01-2023 0.00,Afternoon,Furnace_8,Electric,Soda-lime,95.25,2232.45,1699.6,1.85,2.89,35.8,36.0,A,No,Electricity,6.27,89.07,6.7,12.9,990.2
145,07-01-2023 1.00,Morning,Furnace_5,Hybrid,Borosilicate,52.29,1791.36,1483.3,1.05,4.26,22.7,22.0,C,No,Natural Gas,8.46,149.78,5.69,16.2,985.52
146,07-01-2023 2.00,Morning,Furnace_3,Hybrid,Soda-lime,183.78,1456.8,1529.4,3.34,4.25,38.7,26.0,C,Yes,Natural Gas,12.26,74.8,8.13,12.9,974.76
147,07-01-2023 3.00,Afternoon,Furnace_1,Electric,Soda-lime,152.76,15868.8,1634.1,3.51,3.47,18.5,53.0,A,Yes,Electricity,14.2,192.25,3.61,13.5,355.35
148,07-01-2023 4.00,Morning,Furnace_9,Gas,Soda-lime,92.9,2974.36,1437.1,3.16,2.615,28.5,1.0,C,Yes,Natural Gas,3.41,79.47,1.61,10.3,181.86
149,07-01-2023 5.00,Afternoon,Furnace_3,Gas,Borosilicate,133.0,1284.65,1524.4,2.33,2.94,22.1,39.0,A,Yes,Electricity,14.81,79.04,6.73,8.2,976.64
150,07-01-2023 6.00,Afternoon,Furnace_1,Electric,Soda-lime,30.96,4066.12,1640.8,2.33,3.06,27.5,68.0,B,Yes,Natural Gas,2.91,76.43,5.44,17.6,366.26
151,07-01-2023 7.00,Morning,Furnace_9,Hybrid,Lead,65.41,3066.95,1686.8,3.16,0.78,22.2,68.0,B,No,Natural Gas,7.15,167.73,5.38,21.6,564.095
152,07-01-2023 8.00,Night,Furnace_1,Hybrid,Lead,192.62,24220.2,1433.3,2.91,0.71,29.9,14.0,B,Yes,Natural Gas,13.44,128.42,1.46,16.35,268.06
153,07-01-2023 9.00,Night,Furnace_3,Electric,Lead,168.91,1333.69,1529.0,1.6,3.5,35.6,64.0,B,Yes,Natural Gas,13.38,40.38,3.81,17.8,837.32
154,07-01-2023 10.00,Morning,Furnace_2,Electric,Soda-lime,102.25,4464.58,1647.4,0.81,1.44,22.4,58.0,C,Yes,Electricity,13.66,190.87,9.61,8.3,439.61
155,07-01-2023 11.00,Morning,Furnace_4,Gas,Borosilicate,74.43,3997.39,1590.7,1.13,0.14,19.9,38.0,C,No,Natural Gas,10.78,171.8,1.98,15.3,678.11
156,07-01-2023 12.00,Night,Furnace_2,Electric,Lead,50.63,529.76,1606.0,3.97,0.81,39.3,68.0,B,No,Natural Gas,13.39,165.59,4.84,20.4,8380.8
157,07-01-2023 13.00,Afternoon,Furnace_7,Electric,Borosilicate,21.11,2865.04,1419.7,1.72,4.98,27.5,74.0,A,No,Electricity,6.18,121.7,0.98,22.2,575.06
158,07-01-2023 14.00,Afternoon,Furnace_1,Electric,Soda-lime,101.84,1042.85,1584.6,3.8,4.99,27.0,16.0,B,Yes,Natural Gas,2.47,118.25,2.51,15.2,540.09
159,07-01-2023 15.00,Afternoon,Furnace_2,Gas,Borosilicate,127.6,3043.93,1638.1,3.77,1.24,27.5,77.0,C,No,Electricity,12.29,121.45,4.84,15.5,897.15
160,07-01-2023 16.00,Morning,Furnace_2,Hybrid,Soda-lime,118.19,48138.8,1472.2,2.94,3.93,25.5,75.0,B,Yes,Electricity,14.12,142.7,1.45,18.1,727.6
161,07-01-2023 17.00,Morning,Furnace_7,Gas,Borosilicate,191.27,4388.02,1401.0,1.81,3.21,23.0,42.0,A,No,Electricity,4.3,112.23,9.23,24.0,254.92
162,07-01-2023 18.00,Afternoon,Furnace_2,Gas,Borosilicate,152.71,1115.06,1417.1,2.31,2.615,30.4,32.0,B,No,Electricity,4.63,92.3,1.84,16.1,794.59
163,07-01-2023 19.00,Afternoon,Furnace_2,Electric,Lead,169.56,3341.97,1496.6,1.43,0.77,36.7,30.0,B,No,Natural Gas,9.08,187.09,7.62,8.7,332.44
164,07-01-2023 20.00,Afternoon,Furnace_2,Gas,Soda-lime,145.7,3516.97,1595.2,2.89,0.69,39.7,57.0,B,Yes,Natural Gas,5.95,48.54,5.18,21.9,979.13
165,07-01-2023 21.00,Night,Furnace_5,Hybrid,Soda-lime,66.13,2610.83,1658.9,1.12,0.5,251.0,60.0,B,Yes,Natural Gas,14.41,73.12,5.09,8.7,185.24
166,07-01-2023 22.00,Afternoon,Furnace_9,Electric,Borosilicate,134.85,4406.62,1413.7,0.98,4.99,36.9,78.0,C,No,Electricity,6.16,185.46,1.2,9.9,362.83
167,07-01-2023 23.00,Afternoon,Furnace_6,Gas,Soda-lime,87.81,1774.74,1440.7,3.34,4.5,39.7,40.0,B,Yes,Electricity,13.03,138.75,8.78,10.6,246.57
168,08-01-2023 0.00,Night,Furnace_3,Hybrid,Soda-lime,122.77,1469.37,1442.4,3.86,0.15,30.6,2.0,B,Yes,Electricity,2.38,79.4,4.87,19.8,9296.2
169,08-01-2023 1.00,Afternoon,Furnace_7,Electric,Lead,159.08,3104.38,1407.6,3.17,1.41,27.5,68.0,B,No,Natural Gas,9.94,52.96,2.22,13.2,647.97
170,08-01-2023 2.00,Afternoon,Furnace_9,Hybrid,Soda-lime,46.23,2725.0,1672.0,2.55,2.1,26.7,76.0,A,Yes,Natural Gas,8.67,114.53,2.95,20.6,539.59
171,08-01-2023 3.00,Afternoon,Furnace_6,Hybrid,Lead,40.9,1674.19,1451.0,3.99,1.26,27.5,65.0,B,Yes,Electricity,2.68,126.04,1.8,11.1,557.73
172,08-01-2023 4.00,Morning,Furnace_9,Hybrid,Soda-lime,52.07,2913.91,1580.7,3.71,1.66,28.4,74.0,A,Yes,Natural Gas,22.3,181.55,4.84,19.4,940.75
173,08-01-2023 5.00,Afternoon,Furnace_1,Hybrid,Lead,25.49,1219.03,1401.5,1.27,3.5,27.5,71.0,B,Yes,Electricity,5.4,43.45,6.44,8.5,455.16
174,08-01-2023 6.00,Morning,Furnace_5,Gas,Borosilicate,113.10499999999999,1740.86,1499.7,3.53,30.5,18.8,190.0,C,No,Natural Gas,6.81,168.52,4.84,14.2,332.1
175,08-01-2023 7.00,Afternoon,Furnace_10,Gas,Soda-lime,102.87,2045.72,1685.2,2.97,0.36,25.5,23.0,C,No,Electricity,9.25,195.41,5.31,16.9,564.095
176,08-01-2023 8.00,Afternoon,Furnace_1,Electric,Lead,63.58,3916.18,1552.6,1.4,1.4,16.9,48.0,C,No,Natural Gas,12.97,116.72,7.11,14.9,564.095
177,08-01-2023 9.00,Afternoon,Furnace_8,Electric,Borosilicate,22.78,4955.58,1443.0,2.76,1.89,24.3,75.0,C,No,Electricity,10.34,39.44,8.09,14.9,1735.3
178,08-01-2023 10.00,Night,Furnace_6,Gas,Lead,94.11,2159.6,1552.6,2.94,4.05,26.0,30.0,B,No,Natural Gas,13.72,38.54,4.84,9.5,344.72
179,08-01-2023 11.00,Afternoon,Furnace_3,Gas,Soda-lime,174.4,2420.69,1483.2,2.33,4.23,20.8,51.0,C,Yes,Electricity,5.26,152.34,3.15,19.1,510.34
180,08-01-2023 12.00,Night,Furnace_9,Electric,Lead,117.6,2850.48,1452.9,2.84,0.83,33.2,25.0,B,Yes,Natural Gas,2.58,77.07,0.26,182.0,612.41
181,08-01-2023 13.00,Night,Furnace_7,Electric,Soda-lime,45.95,4615.74,1686.8,2.53,1.37,39.6,6.0,A,Yes,Natural Gas,7.28,84.04,0.58,17.3,564.095
182,08-01-2023 14.00,Night,Furnace_5,Electric,Borosilicate,141.43,781.42,1520.9,1.52,0.59,18.1,19.0,C,Yes,Natural Gas,10.05,115.3,1.74,10.0,561.85
183,08-01-2023 15.00,Night,Furnace_7,Gas,Borosilicate,112.58,3950.63,1467.0,3.63,3.11,36.0,4.0,C,Yes,Natural Gas,5.71,199.05,6.63,12.6,400.44
184,08-01-2023 16.00,Night,Furnace_5,Gas,Soda-lime,184.39,4870.04,1621.9,3.48,2.77,16.6,67.0,C,No,Electricity,13.8,105.64,4.24,11.4,638.27
185,08-01-2023 17.00,Night,Furnace_2,Gas,Borosilicate,54.44,48362.6,1577.7,0.8,1.82,19.0,2.0,A,No,Electricity,2.55,44.83,3.08,20.1,921.68
186,08-01-2023 18.00,Afternoon,Furnace_4,Hybrid,Lead,180.8,4035.85,1551.4,0.86,4.49,31.9,62.0,C,No,Natural Gas,8.69,101.41,6.1,18.5,180.57
187,08-01-2023 19.00,Morning,Furnace_2,Electric,Lead,61.58,1477.1,1671.8,3.02,0.81,33.3,1.0,C,Yes,Electricity,10.0,63.77,4.89,17.7,523.86
188,08-01-2023 20.00,Morning,Furnace_10,Electric,Borosilicate,1877.3,4330.09,1609.3,1.46,3.05,22.6,18.0,B,Yes,Electricity,9.66,77.42,4.79,10.1,3944.8
189,08-01-2023 21.00,Morning,Furnace_5,Electric,Soda-lime,28.09,2607.82,1565.7,3.67,4.18,35.4,3.0,B,Yes,Natural Gas,9.01,116.245,4.12,13.2,476.82
190,08-01-2023 22.00,Morning,Furnace_10,Hybrid,Borosilicate,179.78,2013.27,1408.7,3.2,4.8,19.1,40.0,B,No,Natural Gas,10.27,79.32,6.02,9.6,629.17
191,08-01-2023 23.00,Night,Furnace_4,Electric,Soda-lime,42.02,2915.16,1673.9,2.25,2.91,30.0,23.0,A,Yes,Electricity,9.71,171.93,8.65,23.1,450.23
192,09-01-2023 0.00,Night,Furnace_4,Electric,Borosilicate,144.48,3848.54,1512.3,0.81,2.56,19.8,16.0,A,Yes,Natural Gas,8.66,135.82,8.81,16.35,446.39
193,09-01-2023 1.00,Night,Furnace_8,Gas,Soda-lime,98.17,2898.71,1590.1,1.53,3.33,28.0,39.0,A,Yes,Electricity,13.25,43.79,6.29,10.0,346.99
194,09-01-2023 2.00,Afternoon,Furnace_4,Hybrid,Borosilicate,121.37,1946.34,1408.8,0.9,4.01,28.2,25.0,A,No,Electricity,5.79,198.23,0.6,17.5,159.87
195,09-01-2023 3.00,Night,Furnace_6,Gas,Borosilicate,69.36,4086.45,1451.3,2.44,1.59,22.3,11.0,B,No,Natural Gas,10.07,158.08,0.71,22.7,972.96
196,09-01-2023 4.00,Morning,Furnace_9,Electric,Borosilicate,86.91,1711.26,1457.8,2.33,2.79,35.1,80.0,A,Yes,Natural Gas,9.57,145.15,5.02,15.6,654.9
197,09-01-2023 5.00,Afternoon,Furnace_1,Gas,Lead,197.97,1990.56,1697.6,3.04,2.1,25.4,72.0,A,Yes,Electricity,9.4,90.33,7.35,19.6,576.75
198,09-01-2023 6.00,Afternoon,Furnace_1,Electric,Borosilicate,113.10499999999999,2622.9,1468.2,2.36,4.76,24.6,64.0,A,No,Natural Gas,11.47,159.36,4.94,19.4,564.095
199,09-01-2023 7.00,Morning,Furnace_5,Hybrid,Borosilicate,120.11,3237.48,1493.5,1.42,2.615,390.0,14.0,A,No,Electricity,6.88,105.6,1.79,15.9,859.76
200,09-01-2023 8.00,Afternoon,Furnace_2,Electric,Borosilicate,108.61,4578.01,1673.0,1.03,3.19,25.7,11.0,A,No,Natural Gas,9.55,32.63,6.19,22.9,965.61
201,09-01-2023 9.00,Morning,Furnace_5,Hybrid,Borosilicate,156.83,2254.65,1684.8,1.62,3.06,17.6,71.0,A,Yes,Natural Gas,8.39,159.95,9.79,16.35,693.14
202,09-01-2023 10.00,Afternoon,Furnace_4,Hybrid,Borosilicate,105.01,2371.27,1671.3,3.61,2.58,30.9,27.0,B,No,Electricity,11.01,47.64,5.17,19.8,564.095
203,09-01-2023 11.00,Morning,Furnace_1,Hybrid,Lead,32.59,3309.68,1428.4,2.92,0.17,37.1,19.0,B,No,Natural Gas,4.61,148.09,2.76,19.8,577.51
204,09-01-2023 12.00,Night,Furnace_2,Hybrid,Borosilicate,129.18,2144.64,1601.5,3.25,1.6,27.5,21.0,B,No,Electricity,11.01,194.01,3.68,16.6,917.38
205,09-01-2023 13.00,Afternoon,Furnace_2,Gas,Soda-lime,21.21,842.66,1683.1,2.33,2.89,31.5,54.0,A,Yes,Electricity,9.43,55.06,4.84,21.1,575.83
206,09-01-2023 14.00,Morning,Furnace_8,Electric,Borosilicate,162.59,2206.6,1552.6,1.86,2.95,39.0,50.0,B,Yes,Natural Gas,9.11,113.72,2.9,18.5,127.18
207,09-01-2023 15.00,Morning,Furnace_10,Hybrid,Soda-lime,170.11,2393.7,1526.4,2.87,1.68,37.9,13.0,B,No,Electricity,9.17,64.57,8.06,12.7,336.59
208,09-01-2023 16.00,Morning,Furnace_7,Electric,Soda-lime,619.5,4663.29,1427.1,2.68,4.44,37.4,110.0,A,No,Electricity,7.77,45.12,0.31,9.2,813.01
209,09-01-2023 17.00,Afternoon,Furnace_10,Gas,Soda-lime,126.12,2300.27,1552.6,3.46,3.22,27.9,22.0,A,No,Electricity,8.7,161.55,5.26,17.4,101.04
210,09-01-2023 18.00,Afternoon,Furnace_10,Electric,Soda-lime,113.10499999999999,2713.46,1651.8,2.18,1.77,29.8,24.0,A,Yes,Electricity,11.19,181.56,9.81,13.5,922.67
211,09-01-2023 19.00,Afternoon,Furnace_1,Hybrid,Borosilicate,100.62,1288.53,1552.6,2.33,1.81,18.4,19.0,A,No,Natural Gas,10.43,54.51,4.76,212.0,313.11
212,09-01-2023 20.00,Night,Furnace_5,Gas,Soda-lime,198.98,4130.22,1525.8,1.34,0.38,25.7,2.0,B,Yes,Electricity,12.51,171.49,6.2,22.1,731.41
213,09-01-2023 21.00,Night,Furnace_4,Hybrid,Soda-lime,126.72,2913.91,1634.4,2.12,3.55,26.3,60.0,C,Yes,Electricity,6.94,164.2,4.83,9.2,838.2
214,09-01-2023 22.00,Afternoon,Furnace_1,Electric,Soda-lime,24.35,1558.48,1560.3,1.77,2.83,33.4,58.0,C,No,Electricity,14.42,100.19,0.71,16.1,472.95
215,09-01-2023 23.00,Afternoon,Furnace_2,Hybrid,Lead,94.07,3858.43,1499.5,2.45,4.14,26.4,29.0,B,Yes,Electricity,149.4,193.95,6.1,8.7,778.78
216,10-01-2023 0.00,Afternoon,Furnace_10,Hybrid,Soda-lime,150.03,4022.35,1672.5,2.07,2.21,17.5,9.0,A,Yes,Electricity,8.1,147.89,6.34,11.0,804.47
217,10-01-2023 1.00,Night,Furnace_8,Gas,Lead,190.45,4089.14,1410.6,2.96,3.65,29.1,47.0,C,No,Natural Gas,2.33,49.65,6.87,22.3,961.62
218,10-01-2023 2.00,Afternoon,Furnace_8,Electric,Lead,86.61,3848.8,1424.4,1.2,4.67,15.6,31.0,B,Yes,Electricity,3.77,155.27,7.91,20.2,352.9
219,10-01-2023 3.00,Morning,Furnace_2,Gas,Soda-lime,166.96,1558.03,1606.9,2.03,1.33,24.2,22.0,B,No,Natural Gas,9.55,122.89,2.64,15.0,775.43
220,10-01-2023 4.00,Morning,Furnace_6,Gas,Lead,177.68,3376.07,1567.1,3.14,3.57,34.3,55.0,B,Yes,Natural Gas,13.46,121.27,8.26,14.1,162.3
221,10-01-2023 5.00,Afternoon,Furnace_6,Hybrid,Soda-lime,36.84,3540.72,1618.0,2.88,3.19,15.9,700.0,A,No,Electricity,9.48,130.38,8.62,13.7,647.39
222,10-01-2023 6.00,Morning,Furnace_9,Electric,Borosilicate,175.36,2213.38,1629.0,1.74,0.99,17.5,57.0,B,No,Electricity,5.61,170.91,9.7,17.0,1388.0
223,10-01-2023 7.00,Afternoon,Furnace_2,Electric,Lead,69.03,1653.76,1479.7,2.33,4.94,36.3,18.0,A,Yes,Electricity,4.87,177.98,3.72,16.9,926.83
224,10-01-2023 8.00,Morning,Furnace_4,Hybrid,Borosilicate,34.35,3083.71,1491.8,1.0,1.44,33.0,42.0,C,No,Natural Gas,14.52,130.14,0.18,17.5,540.03
225,10-01-2023 9.00,Afternoon,Furnace_3,Hybrid,Borosilicate,138.24,4843.17,1531.0,1.82,0.98,34.6,9.0,A,Yes,Electricity,7.74,96.64,9.36,23.9,344.22
226,10-01-2023 10.00,Night,Furnace_10,Hybrid,Borosilicate,199.33,776.17,1592.9,3.25,4.35,38.4,48.0,B,No,Electricity,7.57,121.53,8.31,10.8,774.69
227,10-01-2023 11.00,Afternoon,Furnace_1,Hybrid,Lead,158.96,3600.38,1614.4,3.45,2.615,348.0,22.0,A,Yes,Natural Gas,8.61,159.55,5.53,16.0,955.1
228,10-01-2023 12.00,Morning,Furnace_4,Gas,Soda-lime,148.29,668.47,1620.1,1.54,3.69,16.1,58.0,B,Yes,Natural Gas,3.82,84.5,4.18,22.6,957.34
229,10-01-2023 13.00,Night,Furnace_1,Hybrid,Borosilicate,1839.5,2902.84,1658.7,0.99,4.35,22.2,61.0,B,No,Electricity,12.45,191.15,9.29,14.1,564.095
230,10-01-2023 14.00,Morning,Furnace_10,Hybrid,Borosilicate,62.94,3224.65,1631.2,2.76,4.38,33.1,31.0,C,Yes,Electricity,12.01,39.56,8.35,8.2,445.84
231,10-01-2023 15.00,Afternoon,Furnace_2,Electric,Lead,184.08,2834.21,1410.7,1.96,0.27,27.1,14.0,A,Yes,Electricity,14.52,82.63,5.07,11.2,755.2
232,10-01-2023 16.00,Night,Furnace_6,Electric,Borosilicate,54.87,1671.68,1483.9,2.99,0.43,32.4,40.0,B,Yes,Natural Gas,4.32,125.41,5.89,21.6,905.1
233,10-01-2023 17.00,Morning,Furnace_10,Electric,Soda-lime,174.59,2913.91,1665.2,2.12,3.53,37.7,40.0,C,Yes,Natural Gas,14.89,108.25,6.8,23.8,746.14
234,10-01-2023 18.00,Afternoon,Furnace_8,Hybrid,Soda-lime,113.41,4096.06,14839.0,2.65,3.79,27.5,18.0,A,Yes,Natural Gas,7.5,82.51,4.78,8.9,104.34
235,10-01-2023 19.00,Afternoon,Furnace_9,Gas,Borosilicate,113.10499999999999,1367.57,1598.4,3.42,49.4,26.5,75.0,B,Yes,Natural Gas,14.92,1996.9,8.43,16.35,721.16
236,10-01-2023 20.00,Night,Furnace_9,Electric,Borosilicate,81.34,3231.96,14790.0,1.41,2.46,23.0,10.0,A,Yes,Natural Gas,6.71,186.99,4.15,14.7,184.64
237,10-01-2023 21.00,Night,Furnace_3,Gas,Borosilicate,164.89,3302.85,1557.9,3.42,4.46,26.4,71.0,B,No,Electricity,8.64,144.3,6.34,18.9,564.095
238,10-01-2023 22.00,Afternoon,Furnace_10,Hybrid,Lead,112.35,2110.39,1669.3,1.75,4.35,15.3,4.0,B,Yes,Natural Gas,5.9,46.33,6.24,18.9,517.79
239,10-01-2023 23.00,Morning,Furnace_6,Hybrid,Lead,197.65,675.38,1661.7,3.61,3.27,34.7,63.0,B,No,Natural Gas,6.84,115.85,4.77,13.0,241.68
240,11-01-2023 0.00,Night,Furnace_4,Gas,Borosilicate,172.74,1153.93,1444.0,1.62,2.15,34.1,73.0,C,No,Natural Gas,8.69,38.34,1.68,11.3,157.0
241,11-01-2023 1.00,Night,Furnace_10,Gas,Soda-lime,73.11,1977.8,1548.5,1.26,4.33,18.9,44.0,B,Yes,Natural Gas,12.99,48.3,7.26,20.3,4816.8
242,11-01-2023 2.00,Afternoon,Furnace_7,Electric,Soda-lime,42.66,4438.45,1626.0,2.33,1.5,35.2,80.0,A,Yes,Electricity,8.46,150.41,2.11,14.9,380.73
243,11-01-2023 3.00,Afternoon,Furnace_9,Gas,Soda-lime,114.02,2299.27,1468.7,2.87,2.615,16.4,44.0,B,Yes,Electricity,11.18,117.08,4.84,23.6,352.23
244,11-01-2023 4.00,Night,Furnace_6,Electric,Borosilicate,102.52,3458.3,1435.0,1.45,0.98,38.8,1.0,B,No,Natural Gas,8.42,653.0,0.26,9.0,745.82
245,11-01-2023 5.00,Night,Furnace_8,Electric,Lead,74.61,3035.71,1427.3,1.13,3.46,33.3,55.0,C,Yes,Natural Gas,6.81,43.89,0.04,22.8,756.94
246,11-01-2023 6.00,Morning,Furnace_9,Hybrid,Borosilicate,27.16,848.04,1695.4,3.88,2.4,19.2,60.0,B,Yes,Electricity,14.86,181.63,4.0,17.1,323.08
247,11-01-2023 7.00,Night,Furnace_8,Gas,Soda-lime,130.72,3921.47,1572.4,2.61,0.27,26.0,54.0,B,Yes,Electricity,13.95,98.68,6.3,9.1,564.095
248,11-01-2023 8.00,Night,Furnace_4,Gas,Borosilicate,154.29,3988.77,1460.6,2.99,3.31,32.7,45.0,B,Yes,Natural Gas,8.34,44.39,2.83,22.0,766.38
249,11-01-2023 9.00,Morning,Furnace_2,Hybrid,Borosilicate,101.92,2066.69,1500.6,2.07,4.47,31.8,14.0,C,Yes,Electricity,9.55,68.98,4.84,8.4,600.22
250,11-01-2023 10.00,Night,Furnace_1,Electric,Soda-lime,112.2,1295.71,14628.0,3.94,1.84,31.8,17.0,A,No,Natural Gas,12.25,161.01,5.11,16.35,767.49
251,11-01-2023 11.00,Night,Furnace_10,Gas,Borosilicate,31.2,2053.97,1636.4,1.72,4.46,23.7,39.0,A,No,Natural Gas,12.54,133.26,10.0,18.4,743.1
252,11-01-2023 12.00,Night,Furnace_10,Gas,Borosilicate,119.22,1792.27,1518.1,3.99,0.41,37.0,75.0,A,Yes,Electricity,6.04,98.62,71.6,8.7,925.94
253,11-01-2023 13.00,Night,Furnace_8,Hybrid,Borosilicate,198.79,1275.62,1454.7,2.33,3.56,37.0,39.0,C,No,Natural Gas,2.27,129.41,27.9,17.0,660.29
254,11-01-2023 14.00,Afternoon,Furnace_7,Electric,Borosilicate,182.82,2913.91,1584.1,3.97,3.16,29.5,26.0,A,No,Natural Gas,12.55,98.62,2.47,20.5,611.27
255,11-01-2023 15.00,Night,Furnace_1,Hybrid,Borosilicate,118.91,4820.93,1651.9,2.93,3.76,17.0,66.0,B,Yes,Natural Gas,7.82,60.25,3.59,16.35,415.82
256,11-01-2023 16.00,Afternoon,Furnace_5,Gas,Lead,76.94,4290.35,1451.9,2.71,4.41,27.2,79.0,C,Yes,Electricity,3.54,127.08,8.75,14.3,367.71
257,11-01-2023 17.00,Afternoon,Furnace_9,Gas,Borosilicate,99.55,2837.76,1511.4,2.61,2.81,31.3,41.0,C,No,Natural Gas,11.77,107.48,4.83,13.3,718.7
258,11-01-2023 18.00,Morning,Furnace_2,Gas,Lead,148.99,871.54,1640.1,2.71,3.87,29.2,79.0,B,Yes,Natural Gas,4.17,159.44,6.32,23.6,986.08
259,11-01-2023 19.00,Morning,Furnace_7,Hybrid,Soda-lime,142.24,3609.85,1442.5,3.69,0.26,35.0,14.0,C,No,Natural Gas,13.62,51.5,6.68,8.6,464.67
260,11-01-2023 20.00,Night,Furnace_10,Gas,Soda-lime,71.65,737.24,1554.8,3.99,1.11,20.1,32.0,C,No,Natural Gas,5.98,134.23,0.62,10.1,573.49
261,11-01-2023 21.00,Night,Furnace_1,Electric,Lead,193.1,3793.9,1574.2,1.45,4.35,38.3,11.0,A,No,Natural Gas,12.67,151.15,6.71,18.3,579.39
262,11-01-2023 22.00,Afternoon,Furnace_1,Hybrid,Borosilicate,118.24,685.98,1642.9,3.42,1.6,25.9,65.0,B,Yes,Natural Gas,8.07,37.07,1.46,16.35,530.01
263,11-01-2023 23.00,Morning,Furnace_6,Gas,Lead,23.52,3436.04,1614.9,0.84,4.13,31.3,11.0,C,No,Natural Gas,8.69,94.76,4.84,22.0,750.85
264,12-01-2023 0.00,Afternoon,Furnace_6,Electric,Borosilicate,28.92,2913.91,1565.9,1.74,1.08,21.4,52.0,C,No,Natural Gas,8.88,44.22,2.18,9.0,172.31
265,12-01-2023 1.00,Morning,Furnace_1,Electric,Lead,62.52,4784.2,1675.6,1.68,2.34,37.6,2.0,C,No,Electricity,12.5,187.16,1.18,14.5,791.78
266,12-01-2023 2.00,Afternoon,Furnace_3,Hybrid,Borosilicate,152.95,3278.76,1535.3,2.56,0.49,16.5,41.0,C,No,Electricity,5.48,156.88,5.46,22.9,839.77
267,12-01-2023 3.00,Morning,Furnace_7,Electric,Soda-lime,50.9,2425.71,1622.4,2.14,3.09,34.2,36.0,C,Yes,Electricity,10.26,99.31,3.58,13.7,380.17
268,12-01-2023 4.00,Afternoon,Furnace_10,Electric,Soda-lime,76.33,3866.85,1663.5,1.26,0.1,26.0,35.0,A,Yes,Electricity,8.95,85.67,4.84,18.0,868.9
269,12-01-2023 5.00,Morning,Furnace_2,Electric,Borosilicate,44.21,3078.23,1438.4,0.56,3.85,37.0,36.0,C,Yes,Electricity,38.3,52.21,4.23,14.7,887.88
270,12-01-2023 6.00,Night,Furnace_1,Electric,Soda-lime,53.67,4791.48,1595.9,3.26,0.44,18.1,55.0,C,Yes,Natural Gas,5.06,83.8,6.46,23.8,175.22
271,12-01-2023 7.00,Afternoon,Furnace_2,Electric,Soda-lime,198.05,1204.74,1437.6,0.7,0.16,37.2,46.0,B,Yes,Natural Gas,3.32,116.245,5.44,14.5,996.71
272,12-01-2023 8.00,Afternoon,Furnace_2,Electric,Soda-lime,186.94,3878.8,1643.3,0.84,0.04,20.2,80.0,B,No,Natural Gas,4.55,43.17,0.17,8.9,328.08
273,12-01-2023 9.00,Morning,Furnace_5,Electric,Soda-lime,39.62,1752.46,1484.2,3.22,33.9,20.2,46.0,B,No,Electricity,4.17,45.37,3.42,19.8,564.19
274,12-01-2023 10.00,Morning,Furnace_5,Electric,Soda-lime,114.58,4194.91,1570.8,3.66,1.5,30.3,7.0,C,No,Natural Gas,6.03,57.05,8.24,16.7,163.48
275,12-01-2023 11.00,Night,Furnace_3,Gas,Lead,124.75,2220.83,1655.5,1.04,2.615,38.0,51.0,B,No,Electricity,11.02,174.05,3.4,22.2,182.79
276,12-01-2023 12.00,Night,Furnace_6,Hybrid,Soda-lime,105.99,4618.67,1687.1,2.8,3.92,34.0,27.0,B,Yes,Natural Gas,14.09,184.48,1.63,18.8,177.89
277,12-01-2023 13.00,Morning,Furnace_6,Gas,Soda-lime,113.10499999999999,4430.37,1518.6,1.61,1.26,35.4,71.0,A,Yes,Natural Gas,4.9,69.98,9.28,13.3,501.65
278,12-01-2023 14.00,Night,Furnace_5,Hybrid,Borosilicate,180.83,4234.7,1580.1,1.11,0.08,28.8,49.0,B,Yes,Electricity,8.45,122.03,4.67,23.4,740.08
279,12-01-2023 15.00,Night,Furnace_10,Electric,Lead,34.54,44645.2,1694.7,1.49,2.02,26.2,58.0,C,Yes,Natural Gas,11.33,131.24,2.37,21.8,445.63
280,12-01-2023 16.00,Afternoon,Furnace_8,Hybrid,Soda-lime,113.10499999999999,3478.5,1664.6,0.51,2.615,20.6,65.0,A,Yes,Natural Gas,12.1,47.72,6.96,18.2,835.38
281,12-01-2023 17.00,Night,Furnace_8,Hybrid,Soda-lime,159.21,4425.39,1571.0,1.5,4.53,26.5,30.0,C,No,Natural Gas,12.7,102.87,2.69,22.8,859.81
282,12-01-2023 18.00,Night,Furnace_6,Gas,Borosilicate,29.59,4876.62,1613.8,36.8,3.84,23.1,11.0,B,No,Electricity,10.27,71.03,4.84,18.9,494.67
